Group,Site.Name,Latitude,Longitude,Date,Time,Rain.mm,Temp,RH,WindSpeed.ms,GustSpeed.ms,WindDirection.theta,WindDirection
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,13:01:00,0,19.789,51.342,2.01,7.05,188.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,13:16:00,0,19.703,51.785,2.52,7.55,178.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,13:31:00,0,20.153,51.296,2.52,8.05,171.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,13:46:00,0,19.767,51.562,1.51,7.55,172.7,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,14:01:00,0,19.145,52.595,2.01,5.54,188.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,14:16:00,0,19.467,52.54,0.5,3.52,199.4,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,14:31:00,0,19.445,53.158,1.51,5.54,167.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,14:46:00,0,19.274,53.475,1.51,4.53,161.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,15:01:00,0,19.574,51.855,1.51,7.05,155.8,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,15:16:00,0,19.51,51.73,1.51,5.03,181.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,15:31:00,0,19.36,52.523,1.51,5.03,168.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,15:46:00,0,19.252,52.668,1.01,4.03,175.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,16:01:00,0,19.081,53.799,0.5,3.02,174.1,S
